,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
1791,0.081014461,98.8384,4,1985,0,0,492.692
5689,0.024790707,177.5686,2,2007,1,1,3910.9092
2011,0.051618281,31.9558,1,1987,2,1,373.5138
2137,0.03075661,86.254,7,2002,1,1,2163.85
3081,0.04307908,177.8028,2,2007,1,1,1239.7196
7563,0.009429612,71.338,7,2002,1,1,1098.57
7146,0.024185517,115.7176,1,1987,2,1,1374.2112
3957,0.015131684,83.025,9,1999,0,1,1414.825
939,0.010008699,176.737,9,1999,0,1,4940.236
3473,0.016979063,97.441,1,1987,2,1,772.328
2027,0.076681143,110.7228,9,1999,0,1,1657.842
6018,0.028982682,79.596,8,1997,0,1,1438.128
5776,0.12770295,120.444,6,2004,1,1,2516.724
4928,0.042276746,108.4938,9,1999,0,1,1500.7132
4250,0.011437302,92.4488,2,2007,1,1,1358.232
6692,0.035311852,160.9578,9,1999,0,1,4813.734
3517,0.16871476,47.306,9,1999,0,1,1071.938
8237,0.042179884,174.7054,0,1998,2,0,175.1054
381,0.160707489,38.019,5,1985,2,3,1318.284
3294,0.026042966,161.221,2,2007,1,1,1794.331
8476,0.018887088,98.8384,7,2002,1,1,1280.9992
7807,0.123089128,63.6484,4,1985,0,0,65.2484
3638,0.031219108,156.9604,6,2004,1,1,4595.3516
4761,0.052389407,120.9072,3,2009,2,2,2817.6656
1391,0.0,119.5124,3,2009,2,2,829.5868
5194,0.037340835,163.1526,5,1985,2,3,3946.8624
6315,0.0,37.2874,1,1987,2,1,705.748
223,0.051038045,121.7072,2,2007,1,1,3552.7088
2611,0.058234621,58.7562,7,2002,1,1,592.562
7144,0.088551694,191.5504,5,1985,2,3,5944.2624
1662,0.105220024,102.7648,1,1987,2,1,1142.5128
5058,0.069208684,264.0884,5,1985,2,3,4504.8028
3453,0.06893834,196.4768,8,1997,0,1,2561.9984
7991,0.114472403,88.3514,8,1997,0,1,2833.6448
3131,0.023951149,105.6964,8,1997,0,1,1577.946
5452,0.015302764,89.9146,7,2002,1,1,2189.1504
8097,0.021322439,79.1328,6,2004,1,1,1235.7248
7806,0.135944247,171.5106,9,1999,0,1,1539.9954
7699,0.077234113,56.893,8,1997,0,1,1188.453
3357,0.026010729,119.144,2,2007,1,1,2157.192
3712,0.056921876,107.1622,6,2004,1,1,423.4488
361,0.073379745,118.244,8,1997,0,1,2756.412
1778,0.040938155,141.1496,6,2004,1,1,4516.7872
3184,0.14048631,252.7382,1,1987,2,1,3280.3966
5032,0.015271793,89.9146,8,1997,0,1,1550.6482
6127,0.142618182,123.2072,2,2007,1,1,1225.072
5243,0.080747059,46.9718,2,2007,1,1,850.8924
2868,0.045492697,40.3138,3,2009,2,2,527.9794
7169,0.115535487,59.5246,2,2007,1,1,810.9444
8040,0.149288779,158.4288,5,1985,2,3,2985.4472
2259,0.012036432,165.7184,7,2002,1,1,1816.3024
977,0.093307713,250.9066,2,2007,1,1,1506.0396
7818,0.058168807,249.575,0,1998,2,0,499.35
6259,0.117201696,184.0266,2,2007,1,1,2397.5458
2278,0.103363904,226.172,1,1987,2,1,3169.208
5244,0.035240817,255.5014,1,1987,2,1,5355.0294
349,0.0,181.2292,3,2009,2,2,2554.0088
3558,0.026424424,145.2128,7,2002,1,1,3739.1328
5853,0.067824456,167.7842,4,1985,0,0,165.7842
8145,0.026933321,78.467,5,1985,2,3,3292.381
3019,0.058207114,59.1562,9,1999,0,1,1185.124
621,0.083133128,120.1756,9,1999,0,1,1332.9316
7816,0.044829295,187.4556,5,1985,2,3,7510.224
216,0.0,131.2968,0,1998,2,0,260.9936
1106,0.030869612,49.8008,7,2002,1,1,708.4112
3750,0.325780807,252.7698,4,1985,0,0,761.0094
2949,0.115032648,58.0246,5,1985,2,3,2143.2102
1327,0.106238768,176.1396,1,1987,2,1,3663.2316
6945,0.04765803,188.3898,5,1985,2,3,5238.5144
2459,0.022965292,181.695,7,2002,1,1,2563.33
6133,0.076314907,196.7794,7,2002,1,1,2731.1116
7725,0.056516756,143.4812,9,1999,0,1,854.8872
867,0.073055148,33.7216,5,1985,2,3,1280.9992
1586,0.065841719,179.866,1,1987,2,1,2696.49
4687,0.058935522,246.646,8,1997,0,1,2463.46
3873,0.044414056,182.4266,8,1997,0,1,2028.6926
4357,0.113917889,158.2604,6,2004,1,1,2693.8268
4894,0.073559521,33.9216,7,2002,1,1,830.9184
1979,0.09468096,86.2882,3,2009,2,2,1631.8758
1245,0.040911824,142.3154,1,1987,2,1,2552.6772
7000,0.043133816,109.7254,3,2009,2,2,651.1524
2001,0.128206001,155.9314,8,1997,0,1,3878.285
465,0.072284689,119.9098,6,2004,1,1,2048.6666
5256,0.037315469,50.0034,5,1985,2,3,1992.7394
4024,0.030527166,33.5874,2,2007,1,1,635.1732
7243,0.07198553,122.2098,8,1997,0,1,1205.098
4400,0.034410585,111.3544,9,1999,0,1,1342.2528
7065,0.012483408,195.411,7,2002,1,1,2749.754
1171,0.029793955,167.2816,5,1985,2,3,5704.5744
8337,0.116750407,195.2478,4,1985,0,0,193.7478
3509,0.057221177,225.4088,3,2009,2,2,2460.7968
8475,0.080626601,92.5436,9,1999,0,1,378.1744
7714,0.021552357,157.0288,2,2007,1,1,2985.4472
3369,0.037953762,38.448,9,1999,0,1,1198.44
5215,0.0,59.7536,2,2007,1,1,980.0576
7297,0.170000805,155.963,5,1985,2,3,4537.427
1840,0.09301462,52.7956,8,1997,0,1,1037.3164
5049,0.01941154,40.3164,7,2002,1,1,502.0132
2902,0.027271252,171.6106,6,2004,1,1,2566.659
4477,0.130095044,257.2962,0,1998,2,0,517.9924
803,0.07753654,180.866,5,1985,2,3,3235.788
3010,0.074245348,208.2638,2,2007,1,1,4762.4674
6774,0.097768728,142.4496,4,1985,0,0,564.5984
1669,0.01742908,229.601,8,1997,0,1,6201.927
3828,0.036383293,91.0488,6,2004,1,1,1086.5856
6145,0.100171568,262.7226,0,1998,2,0,264.3226
415,0.178975721,155.5288,2,2007,1,1,1571.288
7183,0.03066757,193.4162,2,2007,1,1,2116.5782
1593,0.049722335,224.5062,7,2002,1,1,4514.124
2215,0.057302606,53.3956,6,2004,1,1,600.5516
3476,0.1175683,197.6768,7,2002,1,1,2956.152
348,0.077628053,197.611,9,1999,0,1,3142.576
6478,0.041249072,40.5454,8,1997,0,1,1216.4166
5515,0.052040915,105.728,8,1997,0,1,2024.032
7258,0.012567811,168.4474,7,2002,1,1,2358.2636
5151,0.041180766,37.919,5,1985,2,3,768.999
4892,0.023496967,156.1288,8,1997,0,1,2828.3184
4318,0.08276363,146.5076,3,2009,2,2,1625.8836
5093,0.039463564,189.9846,0,1998,2,0,191.0846
4996,0.02705936,153.3682,8,1997,0,1,914.8092
7030,0.196659953,125.8046,4,1985,0,0,249.0092
6142,0.014713909,83.125,2,2007,1,1,2579.975
6147,0.010096684,160.4552,2,2007,1,1,2599.2832
1338,0.021353642,122.1098,5,1985,2,3,3374.2744
6072,0.091310237,96.9094,0,1998,2,0,190.4188
4784,0.064351908,259.4646,6,2004,1,1,2061.3168
925,0.048115543,159.0946,7,2002,1,1,4102.6596
7105,0.133347119,193.0794,4,1985,0,0,975.397
4424,0.025822315,262.7226,6,2004,1,1,3171.8712
7076,0.016055615,228.4352,2,2007,1,1,8245.2672
5931,0.099553084,40.0164,2,2007,1,1,1312.9576
1465,0.027617046,168.279,8,1997,0,1,4074.696
4955,0.074019393,41.7454,0,1998,2,0,83.8908
1371,0.184041545,110.157,3,2009,2,2,1867.569
7143,0.081955735,142.0838,4,1985,0,0,280.9676
8301,0.081614376,214.7534,5,1985,2,3,5806.4418
6933,0.075368868,35.2532,5,1985,2,3,970.7364
682,0.18520944,212.9902,2,2007,1,1,3185.853
3700,0.040432954,191.653,2,2007,1,1,3795.06
3680,0.036241797,57.3562,2,2007,1,1,1007.3554
3775,0.011278535,237.0248,1,1987,2,1,5451.5704
5812,0.095746519,208.6612,5,1985,2,3,7317.142
4184,0.026420581,250.9408,4,1985,0,0,1001.3632
5234,0.02695441,73.2354,7,2002,1,1,1504.708
596,0.0,123.2414,3,2009,2,2,487.3656
3188,0.054264078,75.0012,7,2002,1,1,834.9132
6852,0.035348491,124.673,2,2007,1,1,2093.941
3151,0.01581384,183.2608,2,2007,1,1,2940.1728
7121,0.244338986,105.9306,4,1985,0,0,209.0612
5786,0.096217262,168.5158,1,1987,2,1,3342.316
3981,0.107597879,58.7904,8,1997,0,1,585.904
3059,0.041071581,82.5934,1,1987,2,1,1310.2944
5835,0.03898577,34.619,9,1999,0,1,732.38
30,0.170348551,55.7956,0,1998,2,0,163.7868
5425,0.010864186,185.3608,5,1985,2,3,5329.0632
6831,0.08918772,128.9678,4,1985,0,0,254.3356
6201,0.0,190.9872,7,2002,1,1,3025.3952
7124,0.0,109.1938,5,1985,2,3,2036.6822
3936,0.045016894,87.6198,7,2002,1,1,1133.8574
2039,0.137807013,161.792,0,1998,2,0,159.792
4310,0.0,197.211,0,1998,2,0,196.411
871,0.07585337,36.8532,9,1999,0,1,1150.5024
1392,0.082085787,92.2488,3,2009,2,2,1358.232
1864,0.016276741,109.8596,3,2009,2,2,1617.894
3318,0.059894378,125.9678,9,1999,0,1,2797.6916
5469,0.026289984,253.7356,2,2007,1,1,3815.034
1042,0.028714747,151.9708,3,2009,2,2,3611.2992
1116,0.081096613,170.379,2,2007,1,1,1018.674
2211,0.01247354,187.5872,7,2002,1,1,1323.6104
7614,0.052836076,86.6224,7,2002,1,1,1619.2256
2404,0.120137953,181.2976,2,2007,1,1,3078.6592
6075,0.039071642,145.3418,9,1999,0,1,882.8508
6463,0.040587146,180.366,2,2007,1,1,1258.362
828,0.073480266,58.8904,0,1998,2,0,58.5904
7649,0.035409328,36.2506,9,1999,0,1,834.9132
3028,0.019123874,73.0038,0,1998,2,0,147.8076
4615,0.129395895,140.3838,1,1987,2,1,1826.2894
4780,0.108253944,194.8794,0,1998,2,0,585.2382
8500,0.0,125.1678,2,2007,1,1,1907.517
1965,0.079952983,62.7826,3,2009,2,2,1162.4868
531,0.111685868,184.7924,0,1998,2,0,370.1848
7831,0.012063121,183.5924,2,2007,1,1,2406.2012
6615,0.053025371,192.5504,3,2009,2,2,2109.2544
3580,0.0,234.4958,7,2002,1,1,1402.1748
5260,0.076841095,162.2236,6,2004,1,1,2900.2248
2690,0.162960415,43.5086,1,1987,2,1,1070.6064
3376,0.052800258,193.2504,6,2004,1,1,2684.5056
951,0.016597651,121.5098,1,1987,2,1,2892.2352
570,0.017960492,81.596,2,2007,1,1,639.168
7800,0.041563696,47.6376,6,2004,1,1,335.5632
1736,0.067953506,119.044,8,1997,0,1,2396.88
5383,0.014649641,207.3638,9,1999,0,1,5797.7864
1041,0.005448005,102.1016,5,1985,2,3,3542.056
7624,0.137618927,161.5236,6,2004,1,1,1772.3596
3149,0.14825809,108.428,1,1987,2,1,1278.336
3539,0.112840108,122.0388,9,1999,0,1,1238.388
4992,0.014280554,148.0418,3,2009,2,2,1177.1344
6161,0.042383069,108.0938,3,2009,2,2,1607.907
7583,0.043885147,108.757,6,2004,1,1,1867.569
114,0.0,173.2054,7,2002,1,1,3151.8972
1625,0.039405676,149.8366,3,2009,2,2,2267.049
872,0.062655235,163.3184,7,2002,1,1,2641.8944
5794,0.0,239.988,7,2002,1,1,2636.568
666,0.064153845,76.9012,1,1987,2,1,607.2096
4899,0.066400129,250.1092,9,1999,0,1,5727.2116
7269,0.0,123.773,8,1997,0,1,3325.671
5752,0.141325834,265.0884,6,2004,1,1,8479.6288
6740,0.040124625,85.1908,3,2009,2,2,1342.2528
4103,0.062477955,87.2514,3,2009,2,2,1505.3738
6238,0.168780127,197.8768,4,1985,0,0,197.0768
4145,0.08062523,259.6936,6,2004,1,1,2087.9488
8214,0.021037197,255.9672,3,2009,2,2,4857.6768
238,0.084554569,109.8912,5,1985,2,3,2074.6328
1524,0.063800266,123.0414,5,1985,2,3,4629.9732
5205,0.111122936,189.2846,3,2009,2,2,3630.6074
2165,0.036474041,218.3482,3,2009,2,2,2409.5302
2553,0.055840055,139.8496,8,1997,0,1,1411.496
4214,0.056884225,231.9642,9,1999,0,1,3020.7346
4659,0.177236497,172.3422,6,2004,1,1,2586.633
1828,0.023274107,154.134,2,2007,1,1,2909.546
2686,0.029616108,107.7622,3,2009,2,2,2011.3818
5331,0.171355643,47.6692,6,2004,1,1,739.038
2761,0.021531416,108.4596,6,2004,1,1,3020.0688
6718,0.020960615,133.2942,1,1987,2,1,2649.884
6270,0.038367194,87.1198,3,2009,2,2,959.4178
7553,0.081684728,92.3488,1,1987,2,1,1177.1344
3343,0.142393712,122.7072,3,2009,2,2,1470.0864
17,0.069196376,54.3614,9,1999,0,1,718.3982
3171,0.203510667,41.0454,0,1998,2,0,251.6724
8160,0.027580163,62.2168,5,1985,2,3,1661.8368
6973,0.167552202,193.1136,6,2004,1,1,2332.9632
4442,0.077178965,93.1146,6,2004,1,1,2189.1504
2374,0.003606726,154.1998,3,2009,2,2,1384.1982
7996,0.060706749,127.502,4,1985,0,0,379.506
2368,0.068809463,258.5278,6,2004,1,1,5206.556
965,0.154627247,177.637,5,1985,2,3,5469.547
7893,0.085434195,105.028,2,2007,1,1,2556.672
172,0.057373797,151.4366,1,1987,2,1,1360.2294
1428,0.00878535,204.998,2,2007,1,1,5366.348
2940,0.057422821,253.7356,0,1998,2,0,508.6712
2433,0.082002559,59.2588,5,1985,2,3,1374.2112
483,0.115194717,258.3278,0,1998,2,0,520.6556
5687,0.015873285,161.321,6,2004,1,1,2773.057
520,0.0,39.7506,1,1987,2,1,303.6048
36,0.059511812,128.0678,5,1985,2,3,2797.6916
6294,0.079613553,65.0826,6,2004,1,1,1162.4868
3338,0.059968347,152.8366,7,2002,1,1,1662.5026
5048,0.038817121,262.6252,9,1999,0,1,524.6504
6542,0.055671582,133.3284,2,2007,1,1,263.6568
5791,0.025130632,150.0734,8,1997,0,1,2524.0478
6058,0.069742672,106.2938,3,2009,2,2,1715.1008
2075,0.014653896,82.425,9,1999,0,1,749.025
5625,0.009816092,211.856,3,2009,2,2,3621.952
2552,0.032152786,157.3972,6,2004,1,1,1869.5664
1155,0.089686322,115.3518,3,2009,2,2,1821.6288
4817,0.016720132,139.918,1,1987,2,1,419.454
3994,0.087421738,154.463,5,1985,2,3,2972.797
1045,0.007555176,145.9102,7,2002,1,1,2187.153
2773,0.063226306,87.9856,8,1997,0,1,1494.0552
3672,0.0,179.866,7,2002,1,1,3595.32
6426,0.07366703,66.2142,3,2009,2,2,131.8284
1083,0.132560174,97.2726,1,1987,2,1,782.9808
6800,0.035118834,93.412,9,1999,0,1,932.12
8041,0.0,46.006,8,1997,0,1,326.242
8133,0.119848041,109.4596,3,2009,2,2,431.4384
6450,0.026783871,108.157,6,2004,1,1,1098.57
1302,0.075515154,167.2158,1,1987,2,1,3008.0844
4783,0.09698132,116.3492,1,1987,2,1,2548.6824
4979,0.038211537,87.7198,8,1997,0,1,1569.9564
2058,0.064002068,85.5566,6,2004,1,1,930.1226
8507,0.030242184,101.799,6,2004,1,1,515.995
376,0.055390121,195.2768,8,1997,0,1,5715.2272
6144,0.032306341,166.3526,9,1999,0,1,986.7156
873,0.022278477,102.499,8,1997,0,1,1547.985
6411,0.032099989,164.1526,5,1985,2,3,2960.1468
7793,0.023876708,258.6304,4,1985,0,0,516.6608
7529,0.087646694,221.5798,1,1987,2,1,5509.495
2284,0.05193741,77.9986,1,1987,2,1,934.7832
8452,0.024795057,147.4102,2,2007,1,1,3791.0652
7967,0.104998144,213.2218,6,2004,1,1,7266.5412
4133,0.069728296,233.9616,7,2002,1,1,1406.1696
5974,0.078576075,78.467,4,1985,0,0,229.701
2148,0.061101383,151.9024,8,1997,0,1,2580.6408
607,0.041913535,90.7462,6,2004,1,1,1665.8316
8394,0.031023835,104.099,1,1987,2,1,309.597
4132,0.0,159.4604,1,1987,2,1,3169.208
6683,0.018410515,252.1698,8,1997,0,1,2283.0282
1732,0.105276162,173.2764,6,2004,1,1,3779.0808
7536,0.084354713,215.5218,5,1985,2,3,4915.6014
2161,0.012203915,133.2284,5,1985,2,3,4350.3372
4782,0.0,151.934,1,1987,2,1,306.268
8385,0.037734334,98.1042,3,2009,2,2,2678.5134
7752,0.015385857,208.9928,5,1985,2,3,9678.0688
1037,0.066121873,145.676,1,1987,2,1,3661.9
3667,0.070349402,228.601,5,1985,2,3,7350.432
7799,0.0,227.4694,8,1997,0,1,3197.1716
825,0.093653464,113.3834,6,2004,1,1,1267.0174
856,0.012455787,197.511,6,2004,1,1,2356.932
4392,0.041970938,55.4272,4,1985,0,0,111.8544
2525,0.154363209,50.835,2,2007,1,1,599.22
6994,0.025960174,214.885,5,1985,2,3,4976.855
5998,0.054920146,195.8452,6,2004,1,1,4893.63
7469,0.011539622,163.5526,8,1997,0,1,2302.3364
5722,0.080771137,146.4734,5,1985,2,3,4157.2552
1427,0.077389797,60.8536,1,1987,2,1,1347.5792
1668,0.106027474,83.9908,3,2009,2,2,1426.1436
449,0.014205168,56.7614,5,1985,2,3,2486.763
2726,0.027458099,158.792,3,2009,2,2,2556.672
5291,0.090867297,127.3336,8,1997,0,1,3962.8416
918,0.172309903,98.2042,4,1985,0,0,198.4084
3132,0.129705008,141.8838,9,1999,0,1,1966.7732
452,0.154120252,51.935,3,2009,2,2,199.74
5119,0.064409056,126.7704,6,2004,1,1,1752.3856
7670,0.050070476,77.896,8,1997,0,1,1278.336
7610,0.055084019,114.7518,0,1998,2,0,455.4072
5789,0.00676387,40.8112,6,2004,1,1,553.9456
450,0.09344495,141.0812,6,2004,1,1,1139.8496
7954,0.04719387,52.8666,9,1999,0,1,1384.1982
8512,0.04280113,178.3028,1,1987,2,1,2479.4392
4623,0.04421348,173.408,1,1987,2,1,1038.648
4786,0.072301795,185.6924,7,2002,1,1,3331.6632
6062,0.083147702,210.1586,0,1998,2,0,422.1172
2696,0.041355366,88.7514,9,1999,0,1,2656.542
8021,0.014518575,182.195,3,2009,2,2,2380.235
2126,0.03315162,170.6422,1,1987,2,1,2931.5174
282,0.031867464,101.0016,5,1985,2,3,2125.2336
5463,0.0,248.8092,6,2004,1,1,6723.2484
2448,0.012260981,131.7284,6,2004,1,1,1186.4556
3768,0.129668578,206.8638,4,1985,0,0,207.0638
8251,0.049478259,245.4144,5,1985,2,3,3675.216
4486,0.034411238,98.6726,8,1997,0,1,782.9808
5147,0.0,52.4008,6,2004,1,1,809.6128
1949,0.150122794,154.5314,5,1985,2,3,1396.1826
582,0.015523707,212.0928,3,2009,2,2,2735.1064
6267,0.025512207,159.692,3,2009,2,2,5592.72
2091,0.020374875,248.0092,1,1987,2,1,1245.046
1525,0.006012413,163.0526,2,2007,1,1,1644.526
4608,0.075142108,145.8444,5,1985,2,3,3773.7544
6068,0.029667053,94.4436,1,1987,2,1,1134.5232
2752,0.066668724,192.4478,6,2004,1,1,2712.4692
4474,0.039492207,97.3042,8,1997,0,1,1091.2462
6892,0.021710275,34.9874,7,2002,1,1,247.0118
7572,0.090185027,140.2496,2,2007,1,1,2681.8424
7479,0.137755834,161.8578,3,2009,2,2,3530.0716
4445,0.142511272,158.7578,6,2004,1,1,2246.4092
1954,0.053887301,225.6088,2,2007,1,1,4250.4672
2019,0.041663111,188.6214,5,1985,2,3,6029.4848
1118,0.0,103.1016,7,2002,1,1,2024.032
161,0.077367431,97.0094,5,1985,2,3,1808.9786
1319,0.143870574,169.4816,0,1998,2,0,503.3448
457,0.102723919,93.212,8,1997,0,1,1957.452
3240,0.008554102,79.3618,9,1999,0,1,805.618
4446,0.09557165,171.0106,7,2002,1,1,4106.6544
2700,0.052274691,79.1986,2,2007,1,1,778.986
3119,0.038917891,35.919,6,2004,1,1,1171.808
2720,0.141108156,128.2994,9,1999,0,1,2698.4874
6885,0.128614205,111.6886,9,1999,0,1,1556.6404
4577,0.058725134,43.6744,2,2007,1,1,407.4696
1065,0.126765903,35.7532,0,1998,2,0,143.8128
5539,0.012229464,56.8904,7,2002,1,1,1406.1696
6136,0.02528802,83.325,0,1998,2,0,416.125
3355,0.050085152,164.7526,8,1997,0,1,1315.6208
2769,0.025912378,146.8418,9,1999,0,1,1765.7016
3774,0.030556922,190.6162,7,2002,1,1,3271.0754
6938,0.0,159.3262,6,2004,1,1,2864.2716
8413,0.020711996,82.7566,6,2004,1,1,1691.132
5660,0.080922439,80.096,3,2009,2,2,1278.336
1721,0.090111173,141.3154,9,1999,0,1,3261.7542
3172,0.044321422,103.899,9,1999,0,1,2889.572
2332,0.056833394,61.9168,3,2009,2,2,1214.4192
8073,0.103634038,101.399,9,1999,0,1,1031.99
3641,0.106731895,183.6634,6,2004,1,1,2544.6876
2207,0.010639596,84.1908,6,2004,1,1,755.0172
2012,0.076505799,91.583,2,2007,1,1,539.298
3645,0.045465958,120.8414,4,1985,0,0,852.8898
8109,0.033192524,199.0768,1,1987,2,1,3153.2288
4530,0.267565911,194.1478,0,1998,2,0,1162.4868
192,0.050186726,164.1526,7,2002,1,1,3124.5994
3147,0.161458973,37.819,6,2004,1,1,256.333
1247,0.062170334,60.9562,7,2002,1,1,829.5868
2734,0.081134826,220.0798,8,1997,0,1,4848.3556
7223,0.037201127,181.7634,1,1987,2,1,2544.6876
6867,0.029845243,41.6138,7,2002,1,1,284.2966
398,0.011026594,166.4842,3,2009,2,2,2652.5472
5878,0.11147467,108.0912,9,1999,0,1,1637.868
7700,0.016197216,108.8596,1,1987,2,1,970.7364
1224,0.043828293,121.4098,0,1998,2,0,241.0196
962,0.065026434,253.704,2,2007,1,1,5060.08
6479,0.174340475,116.6834,6,2004,1,1,3570.6854
5629,0.0,231.3668,1,1987,2,1,5759.17
8013,0.017182935,51.235,9,1999,0,1,848.895
2224,0.035121963,168.6448,1,1987,2,1,1022.6688
1931,0.014614357,147.3102,3,2009,2,2,2332.9632
3848,0.118806857,248.8434,5,1985,2,3,6705.2718
1206,0.113694957,253.4724,9,1999,0,1,6040.1376
4316,0.117149075,164.121,3,2009,2,2,1794.331
923,0.173516063,128.1652,8,1997,0,1,2454.1388
6471,0.030497325,256.9672,7,2002,1,1,1534.0032
3420,0.037768989,88.5856,5,1985,2,3,1845.5976
849,0.114916546,188.4214,4,1985,0,0,565.2642
7736,0.041474232,93.0804,8,1997,0,1,826.9236
1956,0.034624104,115.0492,9,1999,0,1,4054.722
2915,0.042891098,257.633,2,2007,1,1,5382.993
1019,0.081096613,261.2936,2,2007,1,1,3131.9232
2719,0.058756205,161.0552,2,2007,1,1,3411.5592
3855,0.066279832,147.876,9,1999,0,1,4540.756
7905,0.186825823,253.5698,3,2009,2,2,3805.047
2472,0.10985775,188.8214,0,1998,2,0,188.4214
4936,0.024331586,34.9874,2,2007,1,1,529.311
6570,0.083172413,121.0756,7,2002,1,1,1696.4584
190,0.146399712,103.9648,9,1999,0,1,1661.8368
4527,0.095696334,159.7604,2,2007,1,1,2693.8268
2216,0.048761046,260.5278,7,2002,1,1,8851.1452
5065,0.077348214,259.7962,5,1985,2,3,8028.8822
7964,0.02914662,79.296,2,2007,1,1,1118.544
1031,0.062700289,102.199,8,1997,0,1,1960.781
249,0.027022883,262.491,2,2007,1,1,5259.82
8085,0.128621941,175.537,9,1999,0,1,3528.74
4311,0.018591464,112.9544,9,1999,0,1,1342.2528
368,0.047684831,212.5876,3,2009,2,2,1286.3256
